optimizer,activation,architecture,training_loss,training_accuracy,training_mae,training_mse,test_loss,test_accuracy,test_mae,test_mse,label,keywords
Adam,relu,LeNet5,"[2.213409841918945, 1.993585729598999, 1.8833699296951294, 1.806791907119751, 1.7561994432449342, 1.702194201850891, 1.6587067651748657, 1.6381876388549805, 1.6041954147338868, 1.5743830228805542, 1.5501918264389039, 1.5297703903198243, 1.514284042930603, 1.4962952239990235, 1.4764345672607422]","[0.1801, 0.26985, 0.31355, 0.3469, 0.3656, 0.38655, 0.40105, 0.40955, 0.4194, 0.4315, 0.438, 0.4469, 0.4527, 0.4574, 0.4651]","[0.1775463, 0.16774614, 0.1626083, 0.15795039, 0.15533023, 0.15258874, 0.14962591, 0.14801602, 0.14597969, 0.14412679, 0.1423815, 0.14069389, 0.13990745, 0.13844404, 0.1371275]","[0.1775463, 0.16774614, 0.1626083, 0.15795039, 0.15533023, 0.15258874, 0.14962591, 0.14801602, 0.14597969, 0.14412679, 0.1423815, 0.14069389, 0.13990745, 0.13844404, 0.1371275]",1.495281732,0.46725,0.13614096,0.06748369,milestone-experiments2,benchmark_testing
Adam,selu,LeNet5,"[2.1652354921340944, 1.8671136337280274, 1.7395024501800538, 1.657804384803772, 1.5885157732009887, 1.5359897813796997, 1.4890412467956542, 1.4443139667510987, 1.424908664894104, 1.3974693674087524, 1.3610224327087401, 1.3396763275146484, 1.3179602390289307, 1.303228840827942, 1.2853275424957276]","[0.2202, 0.3392, 0.3904, 0.4192, 0.44205, 0.45985, 0.47665, 0.49255, 0.4981, 0.50875, 0.52125, 0.53325, 0.5416, 0.5449, 0.5481]","[0.1740393, 0.15974203, 0.15260403, 0.14777811, 0.14318994, 0.13937275, 0.13660683, 0.13318296, 0.1309725, 0.12927566, 0.12650928, 0.12496279, 0.12309403, 0.12162557, 0.12055032]","[0.1740393, 0.15974203, 0.15260403, 0.14777811, 0.14318994, 0.13937275, 0.13660683, 0.13318296, 0.1309725, 0.12927566, 0.12650928, 0.12496279, 0.12309403, 0.12162557, 0.12055032]",1.396544515,0.51025,0.12371794,0.06297617,milestone-experiments2,benchmark_testing
Adam,tanh,LeNet5,"[2.128227571105957, 1.8873618837356567, 1.7610753793716432, 1.6840135732650756, 1.632246148300171, 1.5796904516220094, 1.5447693126678468, 1.4991842485427855, 1.4643853651046752, 1.4341226608276367, 1.4107792697906494, 1.3909778869628906, 1.3747048212051391, 1.3624097652435303, 1.3401215789794922]","[0.22535, 0.32825, 0.37515, 0.40325, 0.4193, 0.43565, 0.4487, 0.4617, 0.4788, 0.4875, 0.4955, 0.5025, 0.5102, 0.5147, 0.5234]","[0.17362468, 0.16149643, 0.15542674, 0.149782, 0.14613633, 0.14329746, 0.14059445, 0.13784198, 0.13488682, 0.13329454, 0.13106966, 0.12946188, 0.12814651, 0.12696174, 0.12560058]","[0.17362468, 0.16149643, 0.15542674, 0.149782, 0.14613633, 0.14329746, 0.14059445, 0.13784198, 0.13488682, 0.13329454, 0.13106966, 0.12946188, 0.12814651, 0.12696174, 0.12560058]",1.405097709,0.49675,0.12731057,0.063835494,milestone-experiments2,benchmark_testing
NAdam,relu,LeNet5,"[2.245633673095703, 2.063120506477356, 1.9315144886016846, 1.853452128791809, 1.7938693485260009, 1.7492237520217895, 1.7004378768920898, 1.664543822669983, 1.6430895559310914, 1.6294862190246582, 1.5843237859725952, 1.5729323846817016, 1.5314736085891723, 1.5354598342895507, 1.489828719139099]","[0.1594, 0.2589, 0.31355, 0.3427, 0.36255, 0.3796, 0.3969, 0.4093, 0.4142, 0.4241, 0.43705, 0.43885, 0.45655, 0.453, 0.47135]","[0.17820409, 0.17082998, 0.1642084, 0.15963386, 0.1559682, 0.15320942, 0.15055484, 0.14838994, 0.14656422, 0.14583062, 0.1430176, 0.14172953, 0.13973767, 0.13929622, 0.13645908]","[0.17820409, 0.17082998, 0.1642084, 0.15963386, 0.1559682, 0.15320942, 0.15055484, 0.14838994, 0.14656422, 0.14583062, 0.1430176, 0.14172953, 0.13973767, 0.13929622, 0.13645908]",1.666202874,0.43025,0.14241391,0.07141817,milestone-experiments2,benchmark_testing
NAdam,selu,LeNet5,"[2.1490232118606567, 1.8897962371826171, 1.7541440298080444, 1.6820657518386841, 1.6309887142181396, 1.5755616149902343, 1.5381583801269532, 1.5076130990982055, 1.4724669553756713, 1.4433284008026124, 1.4226978576660156, 1.3961334266662597, 1.3775026550292968, 1.3735237922668457, 1.3325809772491455]","[0.224, 0.33925, 0.38565, 0.40555, 0.4292, 0.44505, 0.4553, 0.47085, 0.48305, 0.49295, 0.49935, 0.50725, 0.51475, 0.5159, 0.5336]","[0.1738777, 0.16114074, 0.15324245, 0.14880104, 0.14532392, 0.14195167, 0.13891207, 0.13695216, 0.13446872, 0.13223088, 0.1306613, 0.12864862, 0.12701723, 0.12645745, 0.12390611]","[0.1738777, 0.16114074, 0.15324245, 0.14880104, 0.14532392, 0.14195167, 0.13891207, 0.13695216, 0.13446872, 0.13223088, 0.1306613, 0.12864862, 0.12701723, 0.12645745, 0.12390611]",1.461501027,0.49,0.12779595,0.065183885,milestone-experiments2,benchmark_testing
NAdam,tanh,LeNet5,"[2.1764263290405275, 1.9485683643341065, 1.8406568466186524, 1.7676382633209229, 1.7073548370361329, 1.6562228263854981, 1.5879478580474853, 1.5591122261047363, 1.4937920881271363, 1.5061999324798585, 1.4409240751266479, 1.4090237003326416, 1.4078448574066162, 1.3801710321426393, 1.3602568620681763]","[0.2131, 0.3147, 0.34695, 0.37965, 0.39975, 0.41825, 0.4357, 0.4533, 0.4728, 0.46835, 0.49425, 0.50285, 0.50115, 0.5112, 0.5199]","[0.17588192, 0.16524655, 0.15869275, 0.15462273, 0.15123315, 0.14772935, 0.14380758, 0.14117393, 0.13729621, 0.13646282, 0.13316871, 0.13060841, 0.12981573, 0.12779802, 0.12633741]","[0.17588192, 0.16524655, 0.15869275, 0.15462273, 0.15123315, 0.14772935, 0.14380758, 0.14117393, 0.13729621, 0.13646282, 0.13316871, 0.13060841, 0.12981573, 0.12779802, 0.12633741]",1.397530928,0.50875,0.12737668,0.063271016,milestone-experiments2,benchmark_testing
RAdam,relu,LeNet5,"[2.2964057872772217, 2.172538103866577, 1.9711820499420165, 1.8678182735443116, 1.7821707454681397, 1.7043730430603028, 1.6619087797164918, 1.6014872114181518, 1.5610261548995972, 1.5428825992584227, 1.5092718170166015, 1.4972068473815918, 1.4700166500091554, 1.4519362279891967, 1.4274857608795166]","[0.11285, 0.23435, 0.27915, 0.3237, 0.36235, 0.38555, 0.4029, 0.42475, 0.4381, 0.4424, 0.459, 0.46245, 0.4719, 0.4769, 0.48715]","[0.17984182, 0.17622149, 0.16600442, 0.16136688, 0.15630883, 0.1520349, 0.14871402, 0.145362, 0.1421708, 0.14113526, 0.1385896, 0.13747767, 0.13570285, 0.13457528, 0.13228466]","[0.17984182, 0.17622149, 0.16600442, 0.16136688, 0.15630883, 0.1520349, 0.14871402, 0.145362, 0.1421708, 0.14113526, 0.1385896, 0.13747767, 0.13570285, 0.13457528, 0.13228466]",1.468685219,0.47075,0.13353209,0.0664112,milestone-experiments2,benchmark_testing
RAdam,selu,LeNet5,"[2.242943359375, 1.9246742225646973, 1.759975165939331, 1.6656943494796752, 1.5864809215545654, 1.5181746620178223, 1.4489954082489014, 1.4056094394683838, 1.3637462886810303, 1.324231848526001, 1.3058864082336425, 1.2950347951889039, 1.261221101951599, 1.2485284093856812, 1.2260452625274658]","[0.1736, 0.31965, 0.37825, 0.41725, 0.4413, 0.4648, 0.49025, 0.5077, 0.52265, 0.5318, 0.53765, 0.5442, 0.55665, 0.5587, 0.56745]","[0.17816216, 0.16391228, 0.15359156, 0.14772803, 0.14276986, 0.13847817, 0.1331979, 0.12926833, 0.12662247, 0.12318388, 0.12156669, 0.12038932, 0.1180265, 0.116397806, 0.11479901]","[0.17816216, 0.16391228, 0.15359156, 0.14772803, 0.14276986, 0.13847817, 0.1331979, 0.12926833, 0.12662247, 0.12318388, 0.12156669, 0.12038932, 0.1180265, 0.116397806, 0.11479901]",1.381527219,0.51775,0.1201302,0.06312612,milestone-experiments2,benchmark_testing
RAdam,tanh,LeNet5,"[2.2881069190979004, 2.0799747262954713, 1.8810801027297974, 1.772636265563965, 1.6924866426467895, 1.6348611394882202, 1.5819715198516846, 1.5359092929840088, 1.4881002330780029, 1.4486703031539916, 1.4167227668762208, 1.3883283088684082, 1.3483626880645752, 1.3222322032928466, 1.3053844535827637]","[0.128, 0.26755, 0.3261, 0.37285, 0.39965, 0.4204, 0.4391, 0.45485, 0.4712, 0.48855, 0.4958, 0.5118, 0.5264, 0.5384, 0.5424]","[0.17945041, 0.1729419, 0.16103242, 0.15579544, 0.15058705, 0.14627674, 0.1424818, 0.13943115, 0.13579272, 0.13282602, 0.13000678, 0.12762778, 0.12509708, 0.12247599, 0.12062109]","[0.17945041, 0.1729419, 0.16103242, 0.15579544, 0.15058705, 0.14627674, 0.1424818, 0.13943115, 0.13579272, 0.13282602, 0.13000678, 0.12762778, 0.12509708, 0.12247599, 0.12062109]",1.405478497,0.50025,0.1243015,0.06358857,milestone-experiments2,benchmark_testing
SGD,relu,LeNet5,"[2.3051504753112795, 2.3004466091156006, 2.296757766723633, 2.2929889972686768, 2.2887040740966795, 2.283941213989258, 2.2788112552642823, 2.273086820602417, 2.2662245216369628, 2.257964942932129, 2.248262901687622, 2.2373698387145997, 2.2259502323150633, 2.214489996337891, 2.203418786239624]","[0.1003, 0.1076, 0.1229, 0.1342, 0.1323, 0.1353, 0.1378, 0.1402, 0.14335, 0.15105, 0.15775, 0.16305, 0.16815, 0.17145, 0.17365]","[0.17998637, 0.17992316, 0.17985843, 0.17978252, 0.1796858, 0.17957284, 0.17944235, 0.17930636, 0.17912242, 0.1789028, 0.1786281, 0.17828834, 0.1779302, 0.17751168, 0.17708057]","[0.17998637, 0.17992316, 0.17985843, 0.17978252, 0.1796858, 0.17957284, 0.17944235, 0.17930636, 0.17912242, 0.1789028, 0.1786281, 0.17828834, 0.1779302, 0.17751168, 0.17708057]",2.196991127,0.17875,0.17669389,0.0877661,milestone-experiments2,benchmark_testing
