optimizer,activation,architecture,test_accuracy1,test_accuracy,difference
Adam,relu,LeNet5,0.383,0.438,0.055
Adam,selu,LeNet5,0.38925,0.4418,0.05255
Adam,tanh,LeNet5,0.407,0.4322,0.0252
NAdam,relu,LeNet5,0.35925,0.413,0.05375
NAdam,selu,LeNet5,0.41025,0.4856,0.07535
NAdam,tanh,LeNet5,0.39075,0.432,0.04125
RAdam,relu,LeNet5,0.36975,0.4088,0.03905
RAdam,selu,LeNet5,0.419,0.4464,0.0274
RAdam,tanh,LeNet5,0.39675,0.4292,0.03245
SGD,relu,LeNet5,0.28025,0.3932,0.11295
SGD,selu,LeNet5,0.27825,0.3842,0.10595
SGD,tanh,LeNet5,0.2515,0.376,0.1245
Adam,relu,AlexNet,0.4595,0.60233334,0.14283334
Adam,selu,AlexNet,0.4765,0.55566666,0.07916666
Adam,tanh,AlexNet,0.5415,0.658,0.1165
NAdam,relu,AlexNet,0.455,0.57333334,0.11833334
NAdam,selu,AlexNet,0.2375,0.52566665,0.28816665
NAdam,tanh,AlexNet,0.191,0.337,0.146
RAdam,relu,AlexNet,0.52,0.57433335,0.05433335
RAdam,selu,AlexNet,0.293,0.41933334,0.12633334
RAdam,tanh,AlexNet,0.192,0.40266667,0.21066667
SGD,relu,AlexNet,0.235,0.245,0.01
SGD,selu,AlexNet,0.355,0.427,0.072
SGD,tanh,AlexNet,0.321,0.46433333,0.14333333
Adam,relu,MiniVGGNet,0.51225,0.61033336,0.09808336
Adam,selu,MiniVGGNet,0.438,0.5715,0.1335
Adam,tanh,MiniVGGNet,0.20725,0.49216667,0.28491667
NAdam,relu,MiniVGGNet,0.478,0.5666667,0.0886667
NAdam,selu,MiniVGGNet,0.4545,0.5365,0.082
NAdam,tanh,MiniVGGNet,0.204,0.4565,0.2525
RAdam,relu,MiniVGGNet,0.48125,0.6138333,0.1325833
RAdam,selu,MiniVGGNet,0.419,0.6,0.181
RAdam,tanh,MiniVGGNet,0.46625,0.48883334,0.02258334
SGD,relu,MiniVGGNet,0.317,0.5185,0.2015
SGD,selu,MiniVGGNet,0.302,0.569,0.267
SGD,tanh,MiniVGGNet,0.36025,0.55075,0.1905
Adam,relu,ZFNet,0.3205,0.485,0.1645
Adam,selu,ZFNet,0.247,0.3965,0.1495
Adam,tanh,ZFNet,0.19775,0.41225,0.2145
NAdam,relu,ZFNet,0.193,0.472,0.279
NAdam,selu,ZFNet,0.198,0.50325,0.30525
NAdam,tanh,ZFNet,0.19775,0.36,0.16225
RAdam,relu,ZFNet,0.34775,0.57275,0.225
RAdam,selu,ZFNet,0.23675,0.429,0.19225
RAdam,tanh,ZFNet,0.193,0.44025,0.24725
SGD,relu,ZFNet,0.198,0.41,0.212
SGD,selu,ZFNet,0.289,0.4285,0.1395
SGD,tanh,ZFNet,0.21,0.4175,0.2075
